CID,1Depth,root_category_id
1230,가정/요리/뷰티,1.0
55890,건강/취미/레저,2.0
170,경제경영,3.0
76001,고등학교참고서,4.0
2105,고전,5.0
987,과학,6.0
4395,달력/기타,7.0
8257,대학교재/전문서적,8.0
2551,만화,9.0
798,사회과학,10.0
1,소설/시/희곡,11.0
1383,수험서/자격증,12.0
1108,어린이,13.0
55889,에세이,14.0
1196,여행,15.0
74,역사,16.0
517,예술/대중문화,17.0
1322,외국어,18.0
13789,유아,19.0
656,인문학,20.0
336,자기계발,21.0
2913,잡지,22.0
112011,장르소설,23.0
17195,전집/중고전집,24.0
1237,종교/역학,25.0
2030,좋은부모,26.0
76000,중학교참고서,27.0
1137,청소년,28.0
50246,초등학교참고서,29.0
351,컴퓨터/모바일,30.0
