category_name,category_id,isbn_list
창작동화,436.0,"['9788961554022', '9791193138298']"
명상/선,439.0,"['9791137296930', '9791198219688']"
부모교육,444.0,"['9791138349031', '9791169104449']"
임신/출산,447.0,"['9791188915743', '9791191937367']"
자녀 건강,448.0,['9788934926269']
초등 자녀,451.0,"['9788950978914', '9788926899687']"
예비고등,454.0,"['9788968983351', '9791167751706']"
중학국어독해,463.0,"['9788900476750', '9788900476712']"
특목고대비,466.0,"['9788992513005', '9788992039055']"
학습/기타,467.0,"['9791186759677', '9788954759571']"
청소년 경제,473.0,"['9788965136378', '9791186463628']"
청소년 고전,474.0,"['9791192988207', '9791192988405']"
청소년 문화/예술,476.0,"['9791167140784', '9791156332084']"
청소년 수학/과학,477.0,"['9788954448642', '9788954449021']"
청소년 역사,478.0,"['9791188215744', '9791189404765']"
청소년 영어,479.0,['9788992272308']
청소년 인문/사회,480.0,"['9791190282956', '9771975595006']"
청소년 인물,481.0,"['9791165823528', '9788934952367']"
청소년 자기계발,482.0,"['9788901010403', '9788994126203']"
청소년 철학,483.0,"['9791157412976', '9791193128183']"
청소년과 성(性),484.0,"['9791165365691', '9788990673374']"
청소년의 진로선택,486.0,"['9788925409962', '9791165828875']"
학습법,488.0,"['9791192641089', '9791197166952']"
학습교구,507.0,"['8809404440243', '8809404440236']"
